単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/1,0:00,22233,1315,11398,2966,102,992,1135,0,494,0,0,242,0,75,2,3411,101,22233
2026/5/1,0:30,21396,1315,10800,2966,102,978,1133,0,491,0,0,224,0,75,0,3177,134,21395
2026/5/1,1:00,20973,1315,10427,2965,102,974,1136,0,482,0,0,223,0,75,0,3127,146,20972
2026/5/1,1:30,20713,1316,10046,2967,102,962,1162,0,482,0,0,222,0,75,0,3224,154,20712
2026/5/1,2:00,20717,1315,10280,2967,102,949,1171,0,481,0,0,224,0,75,0,2997,155,20716
2026/5/1,2:30,20937,1316,10567,2967,102,997,1171,0,481,0,0,191,0,75,0,2917,153,20937
2026/5/1,3:00,21222,1316,10864,2966,102,936,1236,0,482,0,0,233,0,75,0,2858,154,21222
2026/5/1,3:30,21349,1316,10844,2965,103,931,1253,0,481,0,0,209,0,75,2,3022,148,21349
2026/5/1,4:00,21545,1315,11015,2967,103,927,1284,0,480,0,0,237,0,75,0,2958,184,21545
2026/5/1,4:30,21761,1316,11229,2966,102,937,1305,0,480,0,0,241,0,75,1,2937,171,21760
2026/5/1,5:00,22147,1316,10992,2966,102,966,1313,0,479,69,0,258,0,75,0,3410,201,22147
2026/5/1,5:30,22375,1315,11169,2968,102,816,1322,0,480,85,0,289,0,75,0,3576,177,22374
2026/5/1,6:00,23407,1316,11766,2966,101,747,1234,0,481,126,0,304,0,75,0,4133,158,23407
2026/5/1,6:30,24608,1316,12352,2967,101,720,1226,0,481,186,0,309,0,75,2,4740,133,24608
2026/5/1,7:00,25818,1315,12912,2966,102,697,1254,0,479,264,0,329,0,214,2,5118,165,25817
2026/5/1,7:30,26829,1316,13414,2967,101,688,1274,0,478,361,0,347,0,729,3,5017,136,26831
2026/5/1,8:00,28258,1316,14139,2967,100,721,1290,0,465,444,0,398,0,1333,4,4946,135,28258
2026/5/1,8:30,29618,1315,14391,2967,101,732,1313,0,462,564,0,413,0,2192,6,5012,151,29619
2026/5/1,9:00,30598,1315,14649,2969,102,711,1309,0,460,719,0,414,0,3056,8,4753,133,30598
2026/5/1,9:30,30881,1315,14627,2967,103,721,1288,0,460,808,0,425,0,2967,11,5046,145,30883
2026/5/1,10:00,30684,1315,14596,2968,121,747,1282,0,458,883,0,422,0,2385,15,5332,160,30684
2026/5/1,10:30,30690,1315,14672,3050,137,792,1285,0,459,1021,0,433,0,2006,18,5330,171,30689
2026/5/1,11:00,30048,1315,14293,3156,137,741,1293,0,460,1202,0,448,0,1597,7,5227,171,30047
2026/5/1,11:30,29774,1315,14335,3163,122,708,1312,0,459,1358,0,449,0,1853,0,4529,172,29775
2026/5/1,12:00,28804,1316,13930,3161,103,809,1316,0,455,1502,0,396,0,1044,2,4644,127,28805
2026/5/1,12:30,27892,1315,13412,3164,102,837,1313,0,455,1814,0,417,0,122,2,4803,136,27892
2026/5/1,13:00,28296,1315,13743,3165,101,872,1312,0,453,2100,0,391,0,72,2,4634,136,28296
2026/5/1,13:30,27911,1316,13356,3163,101,772,1326,0,456,2325,0,399,0,73,2,4487,135,27911
2026/5/1,14:00,27417,1315,12931,3101,100,701,1325,0,453,2709,0,390,0,-475,1,4706,158,27415
2026/5/1,14:30,27677,1315,13847,2968,101,730,1318,0,453,3558,0,355,0,-1517,2,4387,161,27678
2026/5/1,15:00,27467,1314,13770,2968,100,692,1349,0,452,3796,0,294,0,-1857,2,4434,152,27466
